Depart,Arrivee,Distance
HKG,SIN,2565540.24298
HKT,SIN,980254.662485
KIX,MNL,2635486.62689
KIX,TPE,1703417.8897
KUL,SIN,297520.718244
MNL,KIX,2635486.62689
MNL,SIN,2374781.62702
PEN,SIN,602372.391428
PER,SIN,3910749.63855
PNH,SIN,1137654.19323
REP,SIN,1341212.77407
RGN,SIN,1931929.92756
SGN,SIN,1092999.40085
SIN,BKK,1416908.66688
SIN,DRW,3338351.09064
SIN,HAK,2182823.8917
SIN,HGH,3650036.41296
SIN,HKG,2565540.24298
SIN,HKT,980254.662485
SIN,KUL,297520.718244
SIN,MNL,2374781.62702
SIN,PEN,602372.391428
SIN,PER,3910749.63855
SIN,PNH,1137654.19323
SIN,REP,1341212.77407
SIN,RGN,1931929.92756
SIN,SGN,1092999.40085
SIN,SWA,2807733.59465
SIN,TPE,3222348.13606
SWA,SIN,2807733.59465
TPE,KIX,1703417.8897
TPE,SIN,3222348.13606
ACH,EBA,528054.217218
DRS,ZRH,556069.684881
DUS,FDH,448450.401127
EBA,ACH,528054.217218
EBA,FDH,549044.323087
EBA,MUC,633481.592456
EBA,ZRH,539627.078496
FDH,DUS,448450.401127
FDH,EBA,549044.323087
FDH,HAM,663466.304613
FDH,OLB,753085.145101
FDH,TXL,606390.64892
FDH,ZAD,600471.24908
FMM,NAP,852459.201616
GRZ,ZRH,522787.561267
HAM,FDH,663466.304613
MUC,EBA,633481.592456
NAP,FMM,852459.201616
OLB,FDH,753085.145101
SZG,ZRH,335804.174437
TXL,FDH,606390.64892
ZAD,FDH,600471.24908
ZRH,DRS,556069.684881
ZRH,EBA,539627.078496
ZRH,GRZ,522787.561267
ZRH,SZG,335804.174437
ATL,LWB,593604.140507
ATL,MCN,127556.813131
ATL,MEI,428522.598971
ATL,MSL,317561.215497
ATL,PIB,519429.42286
ATL,TUP,406548.11814
BIM,FLL,98033.1723582
ELH,FLL,353676.158059
ELH,PBI,366290.651168
EYW,FLL,233489.515695
EYW,RSW,220172.6219
EYW,TPA,387959.62869
FLL,BIM,98033.1723582
FLL,ELH,353676.158059
FLL,EYW,233489.515695
FLL,FPO,154971.160924
FLL,GGT,513777.635238
FLL,GHB,392862.877059
FLL,MCO,285900.412814
FLL,MHH,309839.182472
FLL,TCB,285002.983881
FLL,TPA,316798.402791
FPO,FLL,154971.160924
GGT,FLL,513777.635238
GGT,GHB,196902.525128
GHB,FLL,392862.877059
GLH,TUP,222399.912303
